number_of_uses,word,word_type
5,espoused,VBN
5,communication,NN
5,leddest,JJS
5,chasten,VB
5,absalom’s,NULL
5,chargeable,JJ
5,ittai,NNP
5,certify,VBP
5,cursing,NN
5,refreshed,VBN
5,whelps,NN
5,victory,NN
5,hatest,JJS
5,comfortably,RB
5,cleanness,NN
5,abishag,NNP
5,bringest,JJS
5,fatted,JJ
5,costly,JJ
5,stairs,NNS
5,nets,NNS
5,contained,VBN
5,bases,NNS
5,settled,VBN
5,prayeth,VBZ
5,furnished,VBN
5,chastised,VBD
5,diseased,VBN
5,gushed,VBD
5,escapeth,NN
5,adjure,VBP
5,ivory,NN
5,porter,NN
5,spears,NNS
5,judging,VBG
5,remaliah,NNP
5,pavement,NN
5,riders,NNS
5,assyrians,NNPS
5,worshipping,VBG
5,upside,RB
5,doers,NNS
5,forts,NNS
5,sisters,NNS
5,jerahmeel,NNP
5,ordain,VB
5,helpers,NNS
5,flight,NN
5,valour,NN
5,psalms,NNS
5,weigh,VBP
5,affairs,NNS
5,basons,NNS
5,baths,NNS
5,device,NN
5,pots,NNS
5,shewest,JJS
5,resorted,VBD
5,perfected,VBN
5,ruin,NN
5,amend,VB
5,sedition,NN
5,needful,JJ
5,desolations,NNS
5,examine,VB
5,sorts,NNS
5,myrtle,NN
5,persecutors,NNS
5,ware,NN
5,aforetime,NN
5,beds,NNS
5,decreed,VBN
5,preferred,VBN
5,maids,NNS
5,gallows,NNS
5,pleasing,VBG
5,foes,NNS
5,bildad,NNP
5,sighing,NN
5,chastening,NN
5,balances,NNS
5,trial,NN
5,secrets,NNS
5,overthroweth,VBZ
5,mocketh,VBD
5,hypocrite,NN
5,rotten,JJ
5,continueth,VBZ
5,unprofitable,JJ
5,travaileth,VBZ
5,perfection,NN
5,cheek,NN
5,foul,JJ
5,acquaintance,NN
5,estranged,VBN
5,vomit,NN
5,safe,JJ
5,moment,NN
5,alike,RB
5,island,NN
5,lightning,NN
5,owners,NNS
5,profited,VBN
5,trieth,VBZ
5,profiteth,VBZ
5,esteem,VB
5,dare,VB
5,crowned,VBD
5,remembereth,VBZ
5,murder,NN
5,bountifully,RB
5,mischievous,JJ
5,bulls,NNS
5,ravening,VBG
5,especially,RB
5,psaltery,NN
5,contrite,JJ
5,afflictions,NNS
5,spoiling,NN
5,dishonour,NN
5,overwhelmed,VBN
5,suffereth,NN
5,melteth,NN
5,march,VB
5,flourish,VB
5,endured,VBD
5,holpen,VB
5,compared,VBN
5,executeth,VBZ
5,quickened,VBD
5,thrones,NNS
5,skirts,NNS
5,returneth,NN
5,ornament,NN
5,ravished,VBD
5,heaviness,NN
5,tendeth,NN
5,liberal,JJ
5,counsels,NNS
5,haughty,JJ
5,planteth,VBZ
5,preacher,NN
5,temples,NNS
5,oaks,NNS
5,hoofs,NN
5,wolf,NN
5,amazed,VBN
5,medes,NNP
5,pomp,NN
5,shouting,NN
5,fortress,NN
5,noph,NNP
5,key,NN
5,sung,VBN
5,teachers,NNS
5,workman,NN
5,potter,NN
5,figure,NN
5,knee,NN
5,eunuch,JJ
5,figs,NNS
5,wares,NNS
5,bemoan,VB
5,pashur,NNP
5,ashkelon,NNP
5,creatures,NNS
5,alas,NNP
5,untempered,JJ
5,alienated,VBN
5,scum,NN
5,traded,VBD
5,steep,JJ
5,belshazzar,NNP
5,notable,JJ
5,leaving,VBG
5,council,NN
5,jonas,NNP
5,choked,VBD
5,tares,NNS
5,mustard,NN
5,tetrarch,NN
5,hardness,NN
5,village,NN
5,caesar,NNP
5,caiaphas,NNP
5,magdalene,NNP
5,supper,NN
5,disputed,VBN
5,creation,NN
5,elisabeth,NNP
5,honest,NN
5,tormented,VBN
5,voices,NNS
5,nathanael,NNP
5,expedient,JJ
5,antioch,NNP
5,unbelieving,JJ
5,sail,NN
5,felix,NNP
5,accusers,NNS
5,suffering,VBG
5,carnal,JJ
5,election,NN
5,graffed,VBN
5,promises,NNS
5,saluteth,NN
5,timothy,NNP
5,proof,NN
5,supply,NN
5,appearing,NN
4,seth,NNP
4,enos,NNP
4,cainan,NNP
4,mahalaleel,NNP
4,jared,NNP
4,methuselah,NNP
4,giants,NNS
4,rooms,NNS
4,abated,VBN
4,shem,NNP
4,awoke,VBD
4,salah,NNP
4,another’s,NULL
4,nahor,NNP
4,ur,NNP
4,canaanite,NNP
4,plagued,VBD
4,horror,NN
4,smoking,NN
4,mistress,NN
4,brimstone,NN
4,yonder,NN
4,bowing,VBG
4,dedan,NNP
4,hairy,JJ
4,birthright,NN
4,isaac’s,NULL
4,felt,VBD
4,zilpah,NNP
4,spotted,VBN
4,brown,NN
4,shear,VB
4,frost,NN
4,meanest,JJS
4,needeth,VBZ
4,oak,NN
4,anah,NNP
4,reuel,NNP
4,shobal,NNP
4,ezer,NNP
4,husham,NNP
4,samlah,NNP
4,achbor,NNP
4,obeisance,NN
4,dreamer,NN
4,judah’s,NULL
4,overseer,NN
4,egyptian’s,NULL
4,shaved,VBD
4,dreams,NNS
4,sacks,NNS
4,bundle,NN
4,blame,NN
4,benjamin’s,NULL
4,unstable,JJ
4,ass’s,NULL
4,haven,NN
4,rider,NN
4,commanding,VBG
4,midwives,NNS
4,river’s,NULL
4,leprous,JJ
4,tale,NN
4,yesterday,NN
4,lothe,VB
4,sever,VB
4,handfuls,NN
4,roast,NN
4,convocation,NN
4,destroyer,NN
4,dough,NN
4,baked,VBD
4,criest,NN
4,sentest,JJS
4,timbrel,NN
4,healeth,VBZ
4,hoar,NN
4,omer,NN
4,mete,VB
4,hur,NNP
4,alien,NN
4,visiting,VBG
4,neighbour’s,NULL
4,tooth,NN
4,wrest,VB
4,spoons,NNS
4,tongs,NNS
4,outmost,NN
4,rear,VBP
4,network,NN
4,behalf,NN
4,shoulderpieces,NNS
4,woven,JJ
4,bells,NNS
4,bell,NN
4,cloths,NNS
4,forgiving,VBG
4,priesthood,NN
4,voluntary,JJ
4,wrung,VBN
4,dressed,VBN
4,waved,VBN
4,toes,NNS
4,raven,NN
4,yellow,JJ
4,forehead,NN
4,spreading,VBG
4,beard,NN
4,saddle,VB
4,defraud,NNP
4,print,NN
4,manners,NNS
4,corruption,NN
4,blowing,VBG
4,willows,NNS
4,fiftieth,JJ
4,compel,VB
4,quarrel,NN
4,sanctuaries,NNS
4,alter,VB
4,numbers,NNS
4,gershonites,NNP
4,kohathites,NNP
4,appointment,NN
4,rereward,NN
4,resting,VBG
4,firstripe,JJ
4,zin,NNP
4,cluster,NN
4,korah,NNP
4,hor,NNP
4,serpents,NNS
4,distressed,VBN
4,rewards,NNS
4,defy,VB
4,pierce,VB
4,disallowed,VBD
4,fortieth,JJ
4,ascent,NN
4,anakims,NNP
4,encourage,VB
4,hermon,NNP
4,reubenites,NNP
4,assayed,VBD
4,bezer,NNP
4,golan,NNP
4,liest,JJS
4,chasteneth,VBZ
4,hart,NN
4,furnish,JJ
4,dedicate,VB
4,stubborn,JJ
4,privy,NN
4,betroth,VB
4,passest,NN
4,troubles,NNS
4,butter,NN
4,whet,VBP
4,safety,NN
4,view,VB
4,pursuers,NNS
4,quit,NN
4,noised,VBN
4,viewed,VBD
4,confession,NN
4,seize,VB
4,ashtaroth,NNP
4,expelled,VBD
4,mahanaim,NNP
4,distribute,VB
4,achsah,NNP
4,othniel,NNP
4,describe,VB
4,kedesh,NNP
4,libnah,NNP
4,jazer,NNP
4,intend,VBP
4,caleb’s,NULL
4,driving,VBG
4,ordered,VBN
4,abiezer,NNP
4,wool,NN
4,oreb,NNP
4,calledst,NN
4,comparison,NN
4,succoth,NNP
4,requested,VBD
4,killing,VBG
4,rendered,VBD
4,misery,NN
4,fugitives,NNS
4,frame,VB
4,zorah,NNP
4,heaps,NNS
4,bethlehemjudah,NNP
4,gleaned,VBD
4,favourable,JJ
4,pains,NNS
4,stump,NN
4,abinadab,NNP
4,rehearsed,VBD
4,advanced,VBD
4,reigneth,NN
4,pomegranate,NN
4,ner,NNP
4,camel,NN
4,shammah,NNP
4,defied,VBD
4,sheath,NN
4,keilah,NNP
4,nabal’s,NULL
4,ziklag,NNP
4,baanah,NNP
4,mulberry,NN
4,comforters,NNS
4,rabbah,NNP
4,axes,NNS
4,tare,NN
4,archite,NNP
4,darts,NNS
4,cushi,NNP
4,regardest,NN
4,elhanan,NNP
4,fade,VB
4,jeopardy,NN
4,helez,NNP
4,commonly,NNP
4,conferred,VBD
4,shunammite,NNP
4,piped,VBN
4,oughtest,JJS
4,springeth,VBZ
4,lover,NN
4,lily,NN
4,ledges,NNS
4,keepest,VBP
4,byword,NN
4,attendance,NN
4,goddess,NN
4,shishak,NNP
4,abijam,NNP
4,provocation,NN
4,hanani,NNP
4,ravens,NNS
4,sustain,VB
4,licked,VBD
4,nights,NNS
4,girdeth,VBD
4,witnessed,VBN
4,ramothgilead,NNP
4,chenaanah,NNP
4,azubah,NNP
4,deputy,NN
4,baalzebub,NNP
4,girt,NN
4,lepers,NNS
4,driveth,VBZ
4,consented,VBD
4,helper,NN
4,samaritans,NNPS
4,agreement,NN
4,lump,NN
4,elnathan,NNP
4,apt,NN
4,chaldees,NNP
4,nineteenth,JJ
4,jaazaniah,NNP
4,zabad,NNP
4,shelomith,NNP
4,jahath,NNP
4,gog,NNP
4,genealogies,NNS
4,asaiah,NNP
4,azel,NNP
4,berechiah,NNP
4,meshelemiah,NNP
4,helpeth,VBZ
4,cymbals,NNS
4,jahaziel,NNP
4,jeduthun,NNP
4,preparation,NN
4,zebadiah,NNP
4,proper,JJ
4,overseers,NNS
4,cieled,VBN
4,reaching,VBG
4,thickness,NN
4,musick,NN
4,covenanted,VBD
4,fortified,VBD
4,realm,NN
4,shod,VB
4,presents,NNS
4,drams,NNS
4,rehum,NNP
4,shimshai,NNP
4,insurrection,NN
4,paid,VBD
4,magistrates,NNS
4,nehemiah,NNP
4,commandedst,NN
4,attentive,JJ
4,performeth,VBZ
4,worshippeth,VB
4,yieldeth,VBZ
4,treading,VBG
4,zeresh,NNP
4,availeth,VBZ
4,feasting,NN
4,declaration,NN
4,zophar,NNP
4,terrify,IN
4,untimely,JJ
4,stout,NN
4,stoppeth,VBZ
4,troops,NNS
4,speeches,NNS
4,clods,NNS
4,couch,NN
4,inferior,JJ
4,withholdeth,VBZ
4,destroyest,JJS
4,understandest,JJS
4,wandereth,VBZ
4,hypocrites,NNS
4,innumerable,JJ
4,beholdeth,VBZ
4,comforteth,VBP
4,caves,NNS
4,nettles,NNS
4,sinews,NNS
4,liftest,JJS
4,balance,NN
4,convinced,VBD
4,wish,VB
4,disposed,VBN
4,accepteth,VBZ
4,addeth,VBZ
4,drops,NNS
4,demand,VB
4,hinds,NNS
4,scorneth,VBD
4,forgetteth,VBZ
4,crush,VB
4,reproveth,VBZ
4,leviathan,NN
4,esteemeth,VBZ
4,throat,NN
4,babes,NNS
4,beholdest,JJS
4,pleasures,NNS
4,footsteps,NNS
4,meditation,NN
4,extol,NN
4,clothing,NN
4,envious,JJ
4,upholdeth,VBZ
4,soundness,NN
4,miry,JJ
4,ceaseth,NN
4,pained,VBN
4,solitary,JJ
4,plentiful,JJ
4,dragons,NNS
4,lightened,VBD
4,apply,VB
4,noisome,JJ
4,owl,NN
4,shortened,VBN
4,watereth,VBZ
4,stormy,NN
4,quenched,VBN
4,slumber,VB
4,avoid,VB
4,roe,NN
4,wiped,VBD
4,correction,NN
4,watching,NN
4,rebuketh,VBZ
4,passengers,NNS
4,sluggard,NN
4,swine’s,NULL
4,ambassador,NN
4,spareth,VBZ
4,mirth,NN
4,learning,NN
4,contentions,NNS
4,wanting,VBG
4,idle,JJ
4,robbery,NN
4,furious,JJ
4,fitly,RB
4,forbearing,NN
4,covetousness,NN
4,harlots,NNS
4,eagles,NNS
4,adulterous,JJ
4,labouring,VBG
4,clefts,NNS
4,veil,NN
4,causing,VBG
4,haughtiness,NN
4,filth,NN
4,blossom,VB
4,latchet,NN
4,leopard,JJ
4,islands,NNS
4,fold,NN
4,bloweth,VBZ
4,sour,JJ
4,fishers,NNS
4,fadeth,NN
4,fort,NN
4,framed,VBD
4,careless,JJ
4,compare,VB
4,declaring,VBG
4,publisheth,JJ
4,marrieth,VBZ
4,climb,VB
4,wallow,VB
4,customs,NNS
4,principalities,NNS
4,gemariah,NNP
4,continuing,VBG
4,adorned,VBN
4,hanameel,NNP
4,cure,VB
4,fasting,NN
4,reading,NN
4,jehudi,NNP
4,tyrus,NNP
4,pipes,NNS
4,husbandman,NN
4,foxes,NNS
4,outer,NN
4,couldest,JJS
4,mocking,VBG
4,aholah,NNP
4,doted,VBD
4,paps,NNS
4,seas,NNS
4,wastes,NNS
4,ours,NNS
4,straitened,VBN
4,bath,NN
4,presidents,NNS
4,craft,NN
4,michael,NNP
4,press,NN
4,pair,NN
4,burdensome,JJ
4,sadducees,NNP
4,peter’s,NULL
4,fever,NN
4,baptist,NNP
4,beelzebub,NNP
4,blasphemy,NN
4,herod’s,NULL
4,herodias,NNP
4,perfectly,RB
4,doctrines,NNS
4,sky,NN
4,offences,NNS
4,neglect,VBP
4,hosanna,NNP
4,wedding,NN
4,sanctifieth,VBZ
4,damnation,NN
4,pontius,NNP
4,released,VBN
4,barabbas,NNP
4,reviled,VBD
4,reasoning,NN
4,virtue,NN
4,loosing,VBG
4,alexander,NNP
4,annas,NNP
4,exhortation,NN
4,yours,NNS
4,pharisee,NNP
4,gladly,RB
4,denieth,VBZ
4,forbidding,VBG
4,cana,NNP
4,impotent,NN
4,quickeneth,VB
4,self,NN
4,thomas,NNP
4,soldier,NN
4,believing,VBG
4,unlearned,JJ
4,sect,NN
4,disputing,VBG
4,oracles,NNS
4,regions,NNS
4,joppa,NNP
4,accompanied,VBD
4,priscilla,NNP
4,apollos,NNP
4,appealed,VBN
4,religion,NN
4,confident,JJ
4,abounded,VBD
4,resisteth,VBZ
4,unmarried,JJ
4,dispensation,NN
4,communion,NN
4,edifying,NN
4,thessalonians,NNPS
4,godliness,NN
4,example,NN
4,denying,VBG
4,alpha,NNP
4,vials,NNS
3,lesser,JJR
3,mist,NN
3,eatest,JJS
3,subtil,JJ
3,vagabond,NN
3,eighty,NN
3,toil,NN
3,repenteth,VBZ
3,hundredth,JJ
3,sidon,NNP
3,peleg,NNP
3,reu,NNP
3,serug,NNP
3,nineteen,JJ
3,confederate,JJ
3,phichol,NNP
3,wit,NN
3,prosperous,JJ
3,sarah’s,NULL
3,lien,VBN
3,elon,NNP
3,discerned,VBD
3,scarce,JJ
3,rightly,RB
3,sustained,VBD
3,deprived,VBN
3,awaked,VBD
3,wrestled,VBD
3,mandrakes,NNS
3,removing,VBG
3,laban’s,NULL
3,whensoever,IN
3,camel’s,NULL
3,milch,NN
3,meeteth,VBD
3,penuel,NNP
3,handmaids,NNS
3,booths,NNS
3,longeth,NN
3,marriages,NNS
3,deferred,VBD
3,midwife,NN
3,mules,NNS
3,bozrah,NNP
3,balm,NN
3,onan,NNP
3,timnath,NNP
3,ripe,NN
3,interpret,VB
3,ring,NN
3,asenath,VBP
3,potipherah,NNP
3,laded,VBD
3,sack’s,NULL
3,traffick,NN
3,protest,VB
3,lade,VB
3,besides,IN
3,assigned,VBD
3,ephraim’s,NULL
3,manasseh’s,NULL
3,amorite,NNP
3,cruelty,NN
3,foal,NN
3,hind,NN
3,bough,NN
3,physicians,NNS
3,child’s,NULL
3,jehovah,NNP
3,amram,NNP
3,pools,NNS
3,swarm,NN
3,maidservant,NN
3,lintel,NN
3,sojourning,NN
3,frontlets,NNS
3,entangled,VBN
3,fighteth,NN
3,chide,VB
3,hating,VBG
3,tool,NN
3,bore,VB
3,stealeth,VBZ
3,manservant,NN
3,restitution,NN
3,delay,VB
3,enemy’s,NULL
3,sapphire,NN
3,covers,NNS
3,almonds,NNS
3,filleted,VBN
3,lace,NN
3,thighs,NN
3,tempered,VBD
3,heaved,VBN
3,lighteth,VBZ
3,numberest,JJS
3,strawed,VBD
3,matrix,NN
3,tied,VBN
3,flay,VB
3,wring,VBG
3,bullock’s,NULL
3,forbidden,VBN
3,rinsed,VBD
3,thumbs,NNS
3,consecration,NN
3,people’s,NULL
3,parteth,NN
3,chew,VBP
3,hawk,NN
3,whereinto,IN
3,scab,NN
3,spots,NNS
3,reddish,JJ
3,fretting,JJ
3,cleansing,NN
3,scrape,VB
3,censer,NN
3,reconciling,VBG
3,catcheth,VBZ
3,daughter’s,NULL
3,carnally,RB
3,spue,NN
3,grudge,NN
3,hoary,JJ
3,adulterer,NN
3,uncovereth,VBZ
3,severed,VBN
3,thenceforth,JJ
3,celebrate,VB
3,israelitish,NNP
3,blasphemeth,VBZ
3,sale,NN
3,walled,JJ
3,fleeing,VBG
3,valued,VBN
3,assured,VBN
3,hindmost,NN
3,abihu,NNP
3,chargers,NNS
3,journeying,VBG
3,beginnings,NNS
3,fresh,JJ
3,nursing,NN
3,ammiel,NNP
3,zoan,NNP
3,preparest,VBP
3,sticks,NNS
3,appertained,VBD
3,censers,NNS
3,passage,NN
3,discouraged,VBN
3,bit,NN
3,ar,NNP
3,balaam’s,NULL
3,stoodest,NN
3,perverseness,NN
3,asshur,NNP
3,midianitish,NNP
3,establisheth,NN
3,confirmeth,VBZ
3,kadeshbarnea,NNP
3,folds,NNS
3,quarter,NN
3,chinnereth,NNP
3,bukki,NNP
3,succeeded,VBD
3,kedemoth,NNP
3,unwalled,JJ
3,gadites,NNP
3,flieth,NN
3,consuming,VBG
3,chastisement,NN
3,fallow,JJ
3,creditor,NN
3,carefully,RB
3,terrified,VBN
3,dam,NN
3,occasions,NNS
3,virginity,NN
3,member,NN
3,liketh,VBZ
3,muzzle,VB
3,profess,VBP
3,outstretched,JJ
3,fray,VB
3,rescue,VB
3,longing,NN
3,delicate,JJ
3,ascribe,NN
3,enlargeth,VBZ
3,commandest,JJS
3,lodging,NN
3,flowed,VBD
3,dissembled,VBD
3,achan,NNP
3,spoils,NNS
3,wedge,NN
3,coveted,VBN
3,drawers,NNS
3,houghed,VBD
3,baalgad,NNP
3,geshurites,NNP
3,aroer,NNP
3,arba,NNP
3,ephraimites,NNS
3,megiddo,NNP
3,anathoth,NNP
3,aijalon,NNP
3,gathrimmon,NNP
3,kishon,NNP
3,sincerity,NN
3,adonibezek,NNP
3,obeying,VBG
3,groanings,NNS
3,chushanrishathaim,NNP
3,dagger,NN
3,harosheth,NNP
3,abinoam,NNP
3,avenging,VBG
3,swept,VBD
3,grasshoppers,NNS
3,threshed,VBN
3,talkest,JJS
3,boweth,VBZ
3,telling,VBG
3,jether,NNP
3,rushed,VBD
3,bewailed,VBD
3,passages,NNS
3,askest,JJS
3,roared,VBN
3,riddle,NN
3,samson’s,NULL
3,sweeter,JJR
3,fairer,NN
3,tail,NN
3,jawbone,NN
3,jaw,NN
3,suit,NN
3,micah’s,NULL
3,footmen,NNS
3,victual,JJ
3,benjamites,NNP
3,dance,NN
3,reapers,NNS
3,virtuous,JJ
3,redeeming,NN
3,weepest,JJS
3,beggar,NN
3,kick,VB
3,backward,RB
3,coffer,NN
3,reaping,VBG
3,kirjathjearim,NNP
3,thundered,VBD
3,circuit,NN
3,invited,VBD
3,belial,NNP
3,michmash,NNP
3,smith,NN
3,wearing,VBG
3,situate,NN
3,beating,VBG
3,rescued,VBD
3,fighting,VBG
3,foreskins,NNS
3,jonathan’s,NULL
3,feigned,VBD
3,doeg,NNP
3,impute,NN
3,lurking,JJ
3,shearing,VBG
3,railed,VBN
3,battles,NNS
3,pleaded,VBD
3,sleeping,VBG
3,stuck,VBN
3,happen,VB
3,kneaded,VBD
3,abuse,IN
3,millo,NNP
3,leaping,NN
3,succour,VB
3,hadadezer,NNP
3,cherethites,NNP
3,beards,NNS
3,shimeah,NNP
3,amnon’s,NULL
3,feign,VB
3,coal,NN
3,polled,VBD
3,bunches,NNS
3,counselled,VBD
3,falsehood,NN
3,lifetime,NN
3,weepeth,NN
3,conduct,VB
3,boat,NN
3,rizpah,NNP
3,savest,JJS
3,steel,NN
3,gentleness,NN
3,strivings,NNS
3,ruling,VBG
3,dodo,NNP
3,ikkesh,NNP
3,maharai,NNP
3,azmaveth,NNP
3,haggith,NNP
3,guests,NNS
3,turnest,NN
3,barest,JJS
3,protested,VBD
3,affinity,NN
3,stalls,NNS
3,ethan,NNP
3,winding,VBG
3,figures,NNS
3,fitted,VBN
3,compassing,VBG
3,undersetters,NNS
3,lavers,NNS
3,promisedst,NN
3,kneeling,VBG
3,shipmen,NNS
3,ophir,NNP
3,almug,NN
3,spice,NN
3,targets,NNS
3,ashtoreth,NNP
3,milcom,NNP
3,jerusalem’s,NULL
3,tahpenes,NNPS
3,shilonite,NNP
3,lighter,JJR
3,refresh,VB
3,lied,VBD
3,disguise,VB
3,naamah,NNP
3,tibni,NNP
3,meal,NN
3,halt,NN
3,trench,NN
3,juniper,NN
3,earthquake,NN
3,plowing,VBG
3,mantle,NN
3,cleaved,VBD
3,blindness,NN
3,horseback,NN
3,jehonadab,NNP
3,letteth,VBZ
3,executing,VBG
3,trumpeters,NNS
3,carpenters,NNS
3,jehozabad,NNP
3,burying,VBG
3,murderers,NNS
3,thistle,NN
3,ripped,VBN
3,pul,NNP
3,tiglathpileser,NNP
3,workmanship,NN
3,adrammelech,NNP
3,conduit,NN
3,fuller’s,NULL
3,trustest,NN
3,warring,VBG
3,ruinous,JJ
3,hook,NN
3,esarhaddon,NNP
3,degrees,NNS
3,seduced,VBN
3,adaiah,NNP
3,pharaohnechoh,NNP
3,pedaiah,NNP
3,craftsmen,NNS
3,mattaniah,NNP
3,zidon,NNP
3,hadoram,NNP
3,sheshan,NNP
3,eleasah,NNP
3,tilgathpilneser,NNP
3,abihail,NNP
3,uzzi,NNP
3,ahitub,NNP
3,tahath,NNP
3,uriel,NNP
3,uzza,NNP
3,tabor,NNP
3,ulam,NNP
3,mikloth,NNP
3,jehiel,NNP
3,eliel,NNP
3,roes,NNS
3,overflown,VBN
3,masons,NNS
3,jeiel,NNP
3,hosah,NNP
3,musical,JJ
3,rehabiah,NNP
3,offices,NNS
3,sixteenth,NN
3,jeshaiah,NNP
3,won,VBN
3,hashabiah,NNP
3,sharon,NNP
3,stewards,NNS
3,footstool,NN
3,imaginations,NNS
3,refined,VBN
3,affection,NN
3,triest,VBP
3,submitted,VBN
3,algum,NN
3,bearers,NNS
3,garnished,VBD
3,michaiah,NNP
3,relied,VBD
3,odours,NNS
3,stablished,VBD
3,arabians,NNPS
3,incurable,JJ
3,counsellor,NN
3,prepareth,VBN
3,questioned,VBD
3,charges,NNS
3,leaders,NNS
3,benefit,NN
3,seers,NNS
3,declined,VBD
3,roasted,VBD
3,necho,NNP
3,register,NN
3,tirshatha,NNP
3,weakened,VBD
3,hurtful,JJ
3,helping,VBG
3,beautify,VB
3,meremoth,NNP
3,sad,JJ
3,welfare,NN
3,geshem,NNP
3,malchiah,NNP
3,delaiah,NNP
3,deliveredst,NN
3,joiakim,NNP
3,shelemiah,NNP
3,media,NNP
3,esther’s,NULL
3,hammedatha,NNP
3,haman’s,NULL
3,purim,NNP
3,enjoined,VBD
3,fastings,NNS
3,potsherd,NN
3,stain,VB
3,hedged,VBD
3,temanite,NNP
3,perisheth,NN
3,silly,JJ
3,sparks,NNS
3,heavier,JJR
3,evident,JJ
3,hireling,NN
3,chooseth,VBZ
3,withereth,NN
3,shooteth,VBZ
3,overturneth,VBZ
3,sealeth,VB
3,multiplieth,VB
3,deceiver,NN
3,heels,NNS
3,scent,NN
3,wasteth,VBZ
3,drieth,VBZ
3,perceiveth,VBZ
3,condemneth,VBZ
3,lettest,JJS
3,gnasheth,VBZ
3,sharpeneth,VB
3,pleadeth,NN
3,mockers,NNS
3,purposes,NNS
3,gin,NN
3,counteth,VBZ
3,sufficiency,NN
3,blown,VBN
3,cow,NN
3,carrieth,VBZ
3,wrongfully,RB
3,sudden,JJ
3,groan,NN
3,whereto,NN
3,attended,VBD
3,directed,VBN
3,marketh,VBZ
3,abhorreth,IN
3,dainty,NN
3,striketh,VBD
3,advantage,NN
3,directeth,VBD
3,cleanseth,VBD
3,eggs,NNS
3,contendeth,VBZ
3,abase,VBD
3,navel,NN
3,sucklings,NNS
3,visitest,FW
3,boasteth,VBZ
3,heart’s,NULL
3,puffeth,VBZ
3,pavilion,NN
3,subdueth,VB
3,enduring,VBG
3,oven,NN
3,operation,NN
3,flames,NNS
3,fashioneth,VBZ
3,wither,RB
3,desires,NNS
3,patiently,RB
3,kinsmen,NNS
3,heel,NN
3,thirsteth,NN
3,approve,VB
3,tempestuous,JJ
3,oppressors,NNS
3,fearfulness,NN
3,banner,NN
3,degree,NN
3,reproaches,NNS
3,dregs,NN
3,fainteth,VBZ
3,raging,NN
3,trample,VBP
3,satisfieth,VBZ
3,excel,VB
3,ate,VB
3,undefiled,JJ
3,vapours,NNS
3,practise,VB
3,cared,VBD
3,polished,VB
3,fulfilling,VBG
3,stringed,VBN
3,retaineth,VBZ
3,loving,VBG
3,pondereth,VBZ
3,naughty,JJ
3,whorish,JJ
3,impudent,JJ
3,abounding,VBG
3,prating,NN
3,uprightly,RB
3,rottenness,NN
3,presently,RB
3,easy,JJ
3,laughter,NN
3,resteth,VBZ
3,revenues,NNS
3,cheerful,JJ
3,transgresseth,NN
3,handleth,VBZ
3,laboureth,VBZ
3,diggeth,VBZ
3,liar,NN
3,justifieth,VBZ
3,begetteth,VBZ
3,harder,JJR
3,provoketh,VBZ
3,transgressor,NN
3,contentious,JJ
3,spendeth,VBZ
3,greedily,RB
3,hardeneth,VBZ
3,humility,NN
3,contention,NN
3,riotous,JJ
3,bewrayeth,VB
3,confesseth,VBZ
3,buyeth,VBZ
3,madness,NN
3,event,NN
3,befalleth,VBZ
3,warm,JJ
3,defer,VB
3,applied,VBD
3,race,NN
3,creator,NNP
3,grinding,VBG
3,study,NN
3,weariness,NN
3,fairest,JJS
3,cheeks,NN
3,spikenard,JJ
3,shadows,NNS
3,doves,NNS
3,leaning,VBG
3,vehement,JJ
3,terribly,RB
3,tinkling,JJ
3,wellbeloved,JJ
3,darkened,VBN
3,tails,NNS
3,stumbling,NN
3,fuel,NN
3,government,NN
3,heweth,VBD
3,tumultuous,JJ
3,oppressor,NN
3,sweep,VB
3,reapeth,VBZ
3,shadowing,VBG
3,meted,VBN
3,dwellers,NNS
3,isle,NN
3,travelling,VBG
3,kedar,NNP
3,joyous,JJ
3,tabrets,NNS
3,note,NN
3,returning,VBG
3,menstruous,JJ
3,sift,VB
3,grounded,JJ
3,deeply,RB
3,ravenous,JJ
3,ransomed,NN
3,warfare,NN
3,comprehended,VBD
3,thresh,VBD
3,travailing,VBG
3,diviners,NNS
3,bel,NNP
3,lady,NN
3,destroyers,NNS
3,obeyeth,VBZ
3,vanish,VB
3,visage,NN
3,marred,VBN
3,considering,VBG
3,noon,NN
3,deserts,NNS
3,backslidings,NNS
3,declareth,VBZ
3,founder,NN
3,reprobate,NN
3,lothed,VBD
3,vanities,NNS
3,revenge,NN
3,wag,VB
3,coniah,NNP
3,yokes,NNS
3,proclaiming,VBG
3,neriah,NNP
3,dungeon,NN
3,mizpah,NNP
3,admonished,VBN
3,oppressing,VBG
3,comforter,NNP
3,ezekiel,NNP
3,warning,VBG
3,seller,NN
3,pourtrayed,VBD
3,inkhorn,VBN
3,sigh,VBP
3,salted,VBN
3,eminent,JJ
3,lewd,JJ
3,debtor,NN
3,desirable,JJ
3,fairs,NNS
3,market,NN
3,deaths,NNS
3,wail,VB
3,meshech,NNP
3,trespasses,NNS
3,galleries,NNS
3,swim,VB
3,partly,RB
3,confessing,VBG
3,week,NN
3,reject,VB
3,testifieth,VBZ
3,reaped,VBN
3,cankerworm,NN
3,amos,NNP
3,dishonoureth,VBZ
3,habakkuk,NNP
3,hen,NN
3,matthew,NNP
3,cloak,NN
3,rust,VB
3,clearly,RB
